No,surname,first_name,Games,Age,Date of Birth,Height,Weight,Origin,Position_1,Position_2
20,Rozee,Connor,81,23yr 1mth,22 Jan 2000,185cm,80kg,North Adelaide,Midfield,Forward
32,Scully,Thomas,0,18yr 3mth,2 Nov 2004,203cm,89kg,West Adelaide,Forward,NA
8,Sinn,Josh,1,20yr 1mth,7 Jan 2003,186cm,78kg,Sandringham Dragons,Midfield,Forward
27,Teakle,Brynn,2,23yr 4mth,16 Oct 1999,203cm,97kg,East Fremantle,Ruck,NA
38,Visentini,Dante,0,20yr,13 Feb 2003,201cm,88kg,Sandringham Dragons,Forward,Ruck
23,Williams,Dylan,1,21yr 7mth,1 Jul 2001,186cm,81kg,Oakleigh Chargers,Forward,NA
16,Wines,Oliver,203,28yr 4mth,7 Oct 1994,187cm,98kg,Bendigo Pioneers,Midfield,NA
10,Amon,Karl,124,27yr 6mth,19 Aug 1995,181cm,77kg,Sandringham Dragons,Midfield,NA
41,Bennetts,Joshua,0,18yr 6mth,9 Aug 2004,178cm,75kg,Eastern Ranges,Midfield,Forward
36,Blanck,James,9,22yr 3mth,20 Nov 2000,195cm,85kg,Box Hill Hawks,Defender,NA
16,Bramble,Lachlan,19,24yr 10mth,19 Apr 1998,181cm,76kg,Box Hill,Defender,NA
22,Breust,Luke,260,32yr 3mth,11 Nov 1990,184cm,83kg,Temora,Forward,NA
33,Brockman,Tyler,11,20yr 3mth,22 Nov 2002,181cm,80kg,Subiaco,Forward,NA
30,Butler,Sam,9,20yr,10 Feb 2003,184cm,73kg,GWV Rebels,Forward,NA
12,Day,Will,33,21yr 8mth,5 Jun 2001,189cm,79kg,West Adelaide,Defender,NA
8,Frost,Sam,141,29yr 6mth,28 Aug 1993,194cm,94kg,Sandringham Dragons,Defender,NA
24,Grainger-Barras,Denver,21,20yr 10mth,17 Apr 2002,195cm,81kg,Swan Districts,Defender,NA
26,Greene,Fergus,5,25yr 2mth,20 Dec 1997,187cm,75kg,Bendigo Pioneers,Forward,NA
15,Hardwick,Blake,124,26yr,5 Feb 1997,181cm,81kg,Eastern Ranges,Defender,NA
44,Hustwaite,Henry,0,18yr 7mth,20 Jul 2004,195cm,84kg,Dandenong Stingrays,Midfield,NA
4,Impey,Jarman,150,27yr 7mth,9 Jul 1995,178cm,81kg,Murray Bushrangers,Defender,NA
39,Jeka,Emerson,7,21yr 5mth,18 Sep 2001,197cm,93kg,Western Jets,Defender,Forward
9,Jiath,Changkuoth,37,23yr 8mth,13 Jun 1999,185cm,80kg,Ethiopia,Defender,NA
23,Koschitzke,Jacob,36,22yr 7mth,11 Jul 2000,196cm,96kg,Albury,Forward,NA
2,Lewis,Mitchell,51,24yr 4mth,14 Oct 1998,198cm,100kg,Calder Cannons,Forward,NA
27,Long,Ned,1,20yr,5 Feb 2003,195cm,92kg,Northern Knights,Midfield,NA
18,Lynch,Max,10,24yr 5mth,12 Sep 1998,200cm,99kg,Murray Bushrangers,Ruck,NA
31,MacDonald,Connor,20,20yr 1mth,13 Jan 2003,184cm,77kg,Dandenong Stingrays,Forward,NA
42,Macdonald,Bailey,0,18yr 6mth,4 Aug 2004,182cm,74kg,Oakleigh Chargers,Defender,NA
28,Mackenzie,Cameron,0,19yr 1mth,21 Jan 2004,188cm,82kg,Sandringham Dragons,Midfield,NA
32,Maginness,Finn,19,22yr,23 Feb 2001,189cm,84kg,Sandringham Dragons,Midfield,NA
17,Meek,Lloyd,15,24yr 10mth,22 Apr 1998,203cm,109kg,Gwv Rebels,Ruck,NA
40,Mitchell,Seamus,0,20yr 7mth,3 Jul 2002,181cm,76kg,Bendigo Pioneers,Defender,Forward
13,Moore,Dylan,52,23yr 6mth,4 Aug 1999,176cm,76kg,Eastern Ranges,Forward,NA
35,Morris,Josh,15,21yr 3mth,7 Nov 2001,186cm,80kg,Woodville West Torrens,Defender,NA
1,Morrison,Harry,78,24yr 3mth,12 Nov 1998,180cm,81kg,Murray Bushrangers,Midfield,NA
11,Nash,Conor,50,24yr 7mth,28 Jul 1998,197cm,94kg,Dublin,Midfield,NA
3,Newcombe,Jai,29,21yr 6mth,2 Aug 2001,186cm,85kg,Box Hill,Midfield,NA
34,O'Hara,Fionn,0,21yr,28 Feb 2002,186cm,81kg,Westmeath,Defender,NA
43,O'Sullivan,Jack,0,18yr 4mth,22 Oct 2004,178cm,72kg,Oakleigh Chargers,Forward,NA
38,Ramsden,Max,0,19yr 10mth,19 Apr 2003,202cm,86kg,Sandringham Dragons,Forward,Ruck
7,Reeves,Ned,17,24yr 3mth,31 Oct 1998,208cm,104kg,Box Hill,Ruck,NA
14,Scrimshaw,Jack,67,24yr 5mth,4 Sep 1998,193cm,89kg,Sandringham Dragons,Defender,NA
29,Serong,Jai,3,20yr,16 Feb 2003,193cm,82kg,Gippsland Power,Forward,NA
6,Sicily,James,115,28yr 1mth,6 Jan 1995,186cm,87kg,Western Jets,Defender,NA
21,Stephens,Cooper,7,22yr 1mth,17 Jan 2001,188cm,87kg,Geelong Falcons,Midfield,NA
25,Ward,Josh,14,19yr 6mth,17 Aug 2003,181cm,74kg,Northern Knights,Midfield,NA
37,Weddle,Joshua,0,18yr 9mth,25 May 2004,192cm,92kg,Oakleigh Chargers,Defender,NA
20,Wingard,Chad,204,29yr 6mth,29 Jul 1993,183cm,83kg,Sturt,Forward,NA
5,Worpel,James,79,24yr 1mth,24 Jan 1999,185cm,86kg,Geelong Falcons,Midfield,NA
34,Archer,Jackson,3,19yr 5mth,1 Sep 2003,183cm,70kg,Northern Knights,Defender,NA
27,Bergman,Miller,1,20yr 1mth,25 Jan 2003,188cm,65kg,Dandenong Stingrays,Defender,NA
16,Bonar,Aiden,32,23yr 11mth,8 Mar 1999,188cm,87kg,Dandenong Stingrays,Defender,NA
21,Coleman-Jones,Callum,19,23yr 8mth,13 Jun 1999,200cm,105kg,Sturt,Forward,Ruck
30,Comben,Charlie,2,21yr 7mth,20 Jul 2001,199cm,84kg,Gippsland Power,Forward,NA
4,Corr,Aidan,120,28yr 9mth,17 May 1994,195cm,97kg,Northern Knights,Defender,NA
10,Cunnington,Ben,229,31yr 7mth,30 Jun 1991,185cm,88kg,Geelong Falcons,Midfield,Forward
25,Curtis,Paul,15,19yr 11mth,4 Mar 2003,185cm,75kg,Western Jets,Forward,NA
9,Davies-Uniacke,Luke,71,23yr 8mth,8 Jun 1999,188cm,87kg,Dandenong Stingrays,Midfield,NA
42,Dawson,Kallan,4,24yr 7mth,22 Jul 1998,194cm,78kg,Williamstown VFL,Defender,NA
41,Drury,Blake,0,18yr 3mth,1 Nov 2004,176cm,73kg,Oakleigh Chargers,Midfield,Forward
32,Edwards,Jacob,0,20yr 3mth,22 Nov 2002,202cm,85kg,Sandringham Dragons,Forward,Ruck
40,Ford,Eddie,8,20yr 8mth,21 Jun 2002,189cm,83kg,Western Jets,Forward,NA
45,Free,Hamish,0,24yr 7mth,23 Jul 1998,202cm,103kg,South Fremantle,Ruck,NA
33,George,Brayden,0,19yr 1mth,13 Jan 2004,187cm,85kg,Murray Bushrangers,Forward,NA
31,Goater,Josh,1,19yr 8mth,2 Jun 2003,190cm,80kg,Calder Cannons,Defender,Midfield
22,Goldstein,Todd,295,34yr 7mth,1 Jul 1988,201cm,103kg,Oakleigh,Ruck,NA
18,Greenwood,Hugh,104,30yr 11mth,6 Mar 1992,191cm,94kg,Perth Wildcats,Midfield,NA
43,Hall,Aaron,155,32yr 3mth,9 Nov 1990,185cm,85kg,Hobart,Defender,NA
37,Harvey,Cooper,0,18yr 7mth,12 Jul 2004,180cm,80kg,Northern Knights,Midfield,Forward
15,Howe,Daniel,96,27yr 2mth,4 Dec 1995,191cm,88kg,Murray Bushrangers,Midfield,NA
20,Larkey,Nick,71,24yr 8mth,6 Jun 1998,198cm,95kg,Oakleigh Chargers,Forward,NA
35,Lazzaro,Charlie,24,20yr 11mth,25 Mar 2002,179cm,73kg,Geelong Falcons,Forward,NA
19,Logue,Griffin,64,24yr 10mth,13 Apr 1998,194cm,100kg,Swan Districts,Defender,Forward
1,Mahony,Jack,42,21yr 3mth,12 Nov 2001,178cm,72kg,Sandringham Dragons,Forward,NA
11,McDonald,Luke,159,28yr,9 Feb 1995,189cm,86kg,Werribee,Defender,NA
23,McKay,Ben,52,25yr 2mth,24 Dec 1997,201cm,99kg,Gippsland Power,Defender,NA
39,Perez,Flynn,19,21yr 6mth,25 Aug 2001,188cm,85kg,Bendigo Pioneers,Defender,Midfield
29,Phillips,Will,16,20yr 9mth,22 May 2002,181cm,80kg,Oakleigh Chargers,Midfield,NA
24,Powell,Tom,31,20yr 11mth,2 Mar 2002,184cm,75kg,Sturt,Midfield,Forward
8,Scott,Bailey,55,22yr 7mth,9 Jul 2000,186cm,77kg,Gc Suns Academy,Defender,Midfield
3,Sheezel,Harry,0,18yr 4mth,13 Oct 2004,185cm,80kg,Sandringham Dragons,Forward,NA
14,Shiels,Liam,255,31yr 9mth,29 Apr 1991,183cm,84kg,Hawthorn,Midfield,Forward
12,Simpkin,Jy,116,24yr 11mth,5 Mar 1998,182cm,77kg,Murray Bushrangers,Midfield,NA
36,Spicer,Phoenix,6,21yr,30 Jan 2002,173cm,64kg,South Adelaide,Forward,NA
2,Stephenson,Jaidyn,89,24yr 1mth,15 Jan 1999,188cm,75kg,Eastern Ranges,Forward,NA
5,Taylor,Curtis,52,22yr 10mth,6 Apr 2000,187cm,78kg,Calder Cannons,Midfield,NA
26,Thomas,Tarryn,57,22yr 11mth,25 Mar 2000,189cm,76kg,North Launcestion,Midfield,Forward
13,Tucker,Darcy,108,26yr 1mth,23 Jan 1997,185cm,84kg,North Ballarat Rebels,Midfield,Forward
28,Turner,Kayne,118,27yr 1mth,31 Dec 1995,180cm,71kg,Wodonga Football,Defender,NA
6,Wardlaw,George,0,18yr 8mth,11 Jun 2004,182cm,79kg,Oakleigh Chargers,Midfield,NA
38,Xerri,Tristan,24,23yr 11mth,15 Mar 1999,201cm,99kg,Western Jets,Ruck,NA
17,Young,Lachie,43,23yr 10mth,6 Apr 1999,189cm,81kg,Mt Eliza Football Netball Club,Defender,NA
7,Ziebell,Jack,258,32yr,28 Feb 1991,188cm,89kg,Murray Bushrangers,Forward,NA
44,Zurhaar,Cameron,83,24yr 9mth,22 May 1998,189cm,92kg,East Fremantle,Forward,NA
3,Berry,Sam,35,21yr,12 Feb 2002,182cm,83kg,Gippsland Power,Midfield,NA
40,Bond,Hugh,0,18yr 5mth,25 Sep 2004,185cm,81kg,Greater Western Victoria Rebels,Midfield,NA
35,Borlase,James,0,20yr 7mth,18 Jul 2002,192cm,98kg,Sturt,Defender,NA
21,Brown,Tyler,27,23yr 2mth,9 Dec 1999,192cm,86kg,Eastern Ranges,Midfield,Forward
41,Butts,Jordon,43,23yr 1mth,31 Dec 1999,198cm,97kg,Murray Bushrangers,Defender,NA
15,Cook,Brayden,11,20yr 7mth,18 Jul 2002,190cm,85kg,South Adelaide,Midfield,NA
5,Crouch,Matt,136,27yr 10mth,21 Apr 1995,181cm,82kg,North Ballarat Rebels,Midfield,NA
12,Dawson,Jordan,86,25yr 10mth,9 Apr 1997,192cm,86kg,Sturt,Defender,NA
39,Doedee,Tom,71,25yr 11mth,1 Mar 1997,187cm,89kg,Geelong Falcons,Defender,NA
31,Dowling,Billy,0,18yr 7mth,1 Jul 2004,187cm,80kg,North Adelaide,Midfield,NA
32,Fogarty,Darcy,58,23yr 5mth,25 Sep 1999,194cm,99kg,Glenelg,Forward,NA
44,Gollant,Lachlan,8,21yr 5mth,12 Sep 2001,192cm,83kg,Calder Cannons,Forward,NA
17,Hamill,Will,38,22yr 3mth,17 Nov 2000,187cm,80kg,Dandenong Stingrays,Defender,NA
6,Hately,Jackson,27,22yr 4mth,21 Oct 2000,191cm,91kg,Central District,Midfield,NA
34,Himmelberg,Elliott,38,24yr 8mth,4 Jun 1998,200cm,98kg,Redlands,Forward,NA
20,Hinge,Mitchell,21,24yr 8mth,26 Jun 1998,190cm,91kg,Glenelg,Defender,Midfield
1,Jones,Chayce,58,23yr 1mth,14 Jan 2000,180cm,83kg,Launceston,Defender,NA
48,Keane,Mark,5,22yr 11mth,17 Mar 2000,194cm,95kg,Cork,Defender,NA
2,Keays,Ben,90,26yr,23 Feb 1997,185cm,89kg,Brisbane Reserves,Midfield,NA
29,Laird,Rory,202,29yr 1mth,29 Dec 1993,177cm,78kg,West Adelaide,Midfield,NA
23,McAdam,Shane,43,27yr 9mth,28 May 1995,183cm,79kg,Sturt,Forward,NA
25,McHenry,Ned,49,22yr 7mth,13 Jul 2000,179cm,73kg,Geelong Falcons,Forward,NA
36,McPherson,Andrew,28,23yr 8mth,20 Jun 1999,186cm,86kg,Woodville-West Torrens,Defender,NA
16,Michalanney,Max,0,19yr,26 Feb 2004,190cm,78kg,Norwood,Defender,NA
30,Milera,Wayne,74,25yr 5mth,14 Sep 1997,185cm,84kg,Central District,Forward,NA
4,Murphy,Lachlan,76,24yr 2mth,4 Dec 1998,175cm,78kg,Adelaide Football Club,Forward,NA
28,Murray,Nick,29,22yr 2mth,18 Dec 2000,193cm,92kg,Allies,Defender,NA
27,Nankervis,Luke,0,19yr 9mth,25 May 2003,189cm,76kg,Sandringham Dragons,Midfield,Forward
42,Newchurch,Tariek,0,20yr 7mth,21 Jul 2002,182cm,78kg,North Adelaide,Forward,NA
43,O'Brien,Reilly,77,27yr 6mth,20 Aug 1995,202cm,102kg,Calder Cannons,Ruck,NA
37,Parnell,Patrick,11,20yr 11mth,4 Mar 2002,178cm,70kg,Murray Bushrangers,Defender,NA
10,Pedlar,Luke,5,20yr 9mth,17 May 2002,182cm,80kg,Glenelg,Forward,NA
8,Rachele,Josh,13,19yr 10mth,11 Apr 2003,180cm,78kg,Murray Bushrangers,Forward,NA
22,Rankine,Izak,48,22yr 10mth,23 Apr 2000,181cm,82kg,West Adelaide,Forward,NA
26,Schoenberg,Harry,46,22yr,21 Feb 2001,182cm,86kg,Woodville West Torrens,Midfield,NA
11,Seedsman,Paul,132,31yr 1mth,22 Jan 1992,190cm,84kg,Eastern Ranges,Midfield,NA
38,Sholl,Lachlan,38,22yr 11mth,7 Mar 2000,186cm,80kg,Calder Cannons,Midfield,NA
9,Sloane,Rory,233,32yr 11mth,17 Mar 1990,182cm,82kg,Eastern Ranges,Midfield,NA
33,Smith,Brodie,225,31yr 1mth,14 Jan 1992,189cm,86kg,Woodville West Torrens,Defender,NA
14,Soligo,Jake,16,20yr 1mth,25 Jan 2003,180cm,80kg,Eastern Ranges,Midfield,NA
45,Strachan,Kieran,5,27yr 4mth,5 Oct 1995,204cm,103kg,Port Melbourne,Ruck,NA
19,Taylor,Zac,0,20yr,31 Jan 2003,180cm,74kg,Calder Cannons,Midfield,NA
7,Thilthorpe,Riley,25,20yr 7mth,7 Jul 2002,201cm,102kg,West Adelaide Fc,Forward,NA
13,Walker,Taylor,238,32yr 10mth,25 Apr 1990,194cm,102kg,Broken Hill North,Forward,NA
24,Worrell,Josh,5,21yr 10mth,11 Apr 2001,194cm,94kg,Sandringham Dragons,Defender,NA
11,Aish,James,143,27yr 3mth,8 Nov 1995,183cm,80kg,Norwood,Midfield,NA
24,Amiss,Jye,3,19yr 6mth,31 Jul 2003,196cm,83kg,East Perth,Forward,NA
41,Banfield,Bailey,61,25yr,26 Feb 1998,190cm,89kg,Claremont,Forward,NA
38,Benning,Eric,0,19yr 7mth,14 Jul 2003,195cm,84kg,Claremont,Ruck,NA
8,Brayshaw,Andrew,100,23yr 3mth,8 Nov 1999,185cm,86kg,Sandringham Dragons,Midfield,NA
17,Brodie,Will,49,24yr 6mth,23 Aug 1998,189cm,89kg,Murray Bushrangers,Midfield,NA
27,Chapman,Heath,23,21yr,31 Jan 2002,193cm,81kg,West Perth,Defender,NA
6,Clark,Jordan,56,22yr 4mth,16 Oct 2000,185cm,84kg,Claremont,Defender,NA
33,Colyer,Travis,146,31yr 6mth,24 Aug 1991,173cm,75kg,Claremont,Forward,NA
19,Corbett,Josh,36,26yr 10mth,23 Apr 1996,190cm,90kg,Werribee,Forward,NA
36,Cox,Brennan,82,24yr 6mth,13 Aug 1998,195cm,98kg,Woodville-West Torrens,Defender,NA
4,Darcy,Sean,83,24yr 8mth,12 Jun 1998,203cm,112kg,Geelong Falcons,Ruck,NA
12,Davies,Hugh,0,18yr 5mth,28 Sep 2004,196cm,90kg,Claremont,Defender,NA
37,Draper,Josh,0,19yr,8 Feb 2004,197cm,93kg,Peel Thunder,Forward,NA
18,Emmett,Tom,0,21yr 2mth,30 Nov 2001,186cm,88kg,Sturt,Forward,NA
28,Erasmus,Neil,5,19yr 2mth,2 Dec 2003,190cm,82kg,Subiaco,Midfield,NA
32,Frederick,Michael,39,22yr 9mth,17 May 2000,183cm,75kg,Eagles,Forward,NA
7,Fyfe,Nathan,209,31yr 5mth,18 Sep 1991,191cm,92kg,Claremont,Midfield,Forward
21,Hamling,Joel,87,29yr 10mth,9 Apr 1993,194cm,92kg,Claremont,Defender,NA
23,Henry,Liam,27,21yr 6mth,28 Aug 2001,180cm,73kg,Claremont,Midfield,Forward
15,Hughes,Ethan,81,28yr 2mth,7 Dec 1994,188cm,88kg,Swan Districts,Defender,Midfield
9,Jackson,Luke,52,21yr 4mth,29 Sep 2001,199cm,100kg,East Fremantle,Forward,Ruck
44,Johnson,Matt,0,19yr 11mth,16 Mar 2003,192cm,81kg,Subiaco,Midfield,NA
22,Knobel,Max,0,18yr 8mth,27 Jun 2004,206cm,91kg,Gippsland Power,Ruck,NA
43,Kuek,Sebit,0,22yr 3mth,11 Nov 2000,195cm,73kg,East Perth,Forward,NA
30,O'Driscoll,Nathan,12,20yr 9mth,17 May 2002,187cm,77kg,Perth,Midfield,NA
2,O'Meara,Jaeger,143,29yr,23 Feb 1994,183cm,83kg,Perth Demons,Midfield,NA
25,Pearce,Alex,84,27yr 8mth,9 Jun 1995,201cm,99kg,Devonport,Defender,NA
42,Reidy,Liam,0,22yr 8mth,14 Jun 2000,204cm,102kg,Frankston Dolphins,Ruck,NA
13,Ryan,Luke,109,27yr,6 Feb 1996,186cm,89kg,Coburg,Defender,NA
5,Schultz,Lachlan,67,25yr 2mth,30 Nov 1997,178cm,82kg,Williamstown,Forward,NA
3,Serong,Caleb,58,22yr,9 Feb 2001,179cm,85kg,Gippsland Power,Midfield,NA
1,Sturt,Sam,4,22yr 9mth,12 May 2000,188cm,80kg,Dandenong Stingrays,Forward,NA
39,Switkowski,Sam,46,26yr 3mth,20 Nov 1996,179cm,73kg,Box Hill Hawks,Forward,NA
20,Taberner,Matthew,116,29yr 8mth,17 Jun 1993,198cm,98kg,Murray Bushrangers,Forward,NA
35,Treacy,Josh,19,20yr 6mth,4 Aug 2002,193cm,94kg,Bendigo Pioneers,Forward,NA
34,Wagner,Corey,19,25yr 11mth,23 Mar 1997,181cm,75kg,Aspley,Defender,Midfield
31,Walker,Brandon,31,20yr 4mth,17 Oct 2002,186cm,77kg,East Fremantle,Defender,NA
10,Walters,Michael,202,32yr 1mth,7 Jan 1991,176cm,79kg,Swan Districts,Forward,NA
45,Williams,Conrad,0,18yr 2mth,30 Nov 2004,185cm,63kg,Claremont,Midfield,NA
14,Wilson,Nathan,151,30yr 1mth,7 Jan 1993,185cm,80kg,WA,Defender,NA
40,Worner,Karl,0,20yr 8mth,16 Jun 2002,188cm,81kg,Oakleigh Chargers,Defender,Midfield
26,Young,Hayden,35,21yr 10mth,11 Apr 2001,189cm,84kg,Dandenong Stingrays,Defender,NA
12,Allen,Oscar,59,23yr 11mth,19 Mar 1999,192cm,87kg,West Perth,Forward,NA
38,Baker,Jordyn,0,18yr 9mth,10 May 2004,185cm,72kg,East Perth,Midfield,NA
30,Barnett,Harry,0,19yr 1mth,22 Jan 2004,202cm,96kg,West Adelaide,Ruck,NA
37,Barrass,Tom,118,27yr 4mth,8 Oct 1995,196cm,96kg,Claremont,Defender,NA
33,Bazzo,Rhett,9,19yr 4mth,17 Oct 2003,194cm,81kg,Swan Districts,Defender,NA
45,Burgiel,Coby,0,18yr 5mth,9 Sep 2004,183cm,80kg,Gippsland Power,Midfield,Forward
18,Chesser,Campbell,0,19yr 10mth,27 Apr 2003,186cm,83kg,Sandringham Dragons,Defender,Midfield
39,Clark,Greg,9,25yr 9mth,24 May 1997,193cm,94kg,Subiaco,Midfield,NA
28,Cole,Tom,78,25yr 9mth,28 May 1997,186cm,81kg,Sandhurst Football Netball Club,Defender,NA
15,Cripps,Jamie,216,30yr 10mth,23 Apr 1992,183cm,84kg,East Fremantle,Forward,NA
49,Culley,Jai,4,20yr,24 Feb 2003,193cm,87kg,Dandenong Stingrays,Midfield,NA
27,Darling,Jack,257,30yr 8mth,13 Jun 1992,191cm,95kg,West Perth,Forward,NA
43,Dewar,Tyrell,0,18yr 11mth,27 Mar 2004,183cm,67kg,Subiaco,Defender,Forward
14,Duggan,Liam,136,26yr 2mth,11 Dec 1996,184cm,83kg,Western Jets,Defender,NA
42,Edwards,Harry,28,22yr 4mth,1 Oct 2000,200cm,87kg,Swan Districts,Defender,NA
16,Edwards,Luke,11,21yr 1mth,12 Jan 2002,188cm,83kg,Glenelg,Midfield,NA
29,Foley,Luke,23,23yr 4mth,8 Oct 1999,188cm,75kg,Subiaco,Defender,NA
3,Gaff,Andrew,252,30yr 8mth,16 Jun 1992,183cm,85kg,Oakleigh Chargers,Midfield,NA
7,Ginbey,Reuben,0,18yr 5mth,10 Sep 2004,189cm,82kg,East Perth,Defender,Midfield
8,Hewett,Elijah,0,18yr 9mth,27 May 2004,185cm,84kg,Swan Districts,Midfield,NA
19,Hough,Brady,15,19yr 11mth,5 Mar 2003,189cm,71kg,Peel Thunder,Defender,Midfield
5,Hunt,Jayden,114,27yr 10mth,3 Apr 1995,187cm,81kg,Brighton Grammar,Defender,NA
25,Hurn,Shannon,320,35yr 5mth,4 Sep 1987,187cm,95kg,Central District,Defender,NA
40,Jamieson,Callum,9,22yr 6mth,31 Jul 2000,200cm,81kg,Claremont,Ruck,NA
31,Jones,Jamaine,42,24yr 4mth,29 Sep 1998,180cm,81kg,North Ballarat Rebels,Defender,NA
11,Kelly,Tim,102,28yr 7mth,26 Jul 1994,182cm,81kg,South Fremantle,Midfield,NA
44,Long,Noah,0,18yr 6mth,23 Aug 2004,178cm,74kg,Bendigo Pioneeers,Midfield,Forward
20,McGovern,Jeremy,163,30yr 10mth,15 Apr 1992,196cm,99kg,Claremont,Defender,NA
9,Naitanui,Nicholas,213,32yr 9mth,4 May 1990,201cm,110kg,Swan Districts,Ruck,NA
24,O'Neill,Xavier,24,22yr 6mth,3 Aug 2000,185cm,81kg,Oakleigh Chargers,Midfield,NA
10,Petrevski-Seton,Sam,108,25yr,19 Feb 1998,181cm,76kg,Claremont,Forward,NA
21,Petruccelle,Jack,54,23yr 10mth,12 Apr 1999,185cm,80kg,Northern Knights,Forward,NA
35,Rotham,Josh,46,25yr,25 Feb 1998,193cm,86kg,West Perth,Defender,NA
1,Ryan,Liam,86,26yr 4mth,2 Oct 1996,179cm,72kg,Subiaco,Forward,NA
4,Sheed,Dominic,142,27yr 10mth,10 Apr 1995,185cm,87kg,Subiaco,Midfield,NA
13,Shuey,Luke,238,32yr 8mth,2 Jun 1990,183cm,90kg,Oakleigh Chargers,Midfield,NA
26,Trew,Zane,2,20yr 10mth,26 Apr 2002,187cm,78kg,Swan Districts,Midfield,Forward
2,Waterman,Jake,73,24yr 9mth,6 May 1998,191cm,92kg,Claremont,Forward,NA
36,West,Connor,19,23yr 9mth,7 May 1999,183cm,80kg,West Perth,Midfield,Forward
32,Williams,Bailey,26,22yr 10mth,17 Apr 2000,199cm,95kg,Dandenong Stingrays,Ruck,NA
34,Williams,Jack,1,19yr 2mth,1 Dec 2003,195cm,94kg,East Fremantle,Forward,Ruck
22,Winder,Isiah,7,20yr 9mth,16 May 2002,180cm,79kg,Peel Thunder,Forward,NA
23,Witherden,Alex,81,24yr 5mth,10 Sep 1998,188cm,85kg,Geelong Falcons,Defender,NA
6,Yeo,Elliot,182,29yr 4mth,1 Oct 1993,190cm,89kg,East Fremantle,Defender,NA
9,Ainsworth,Ben,96,25yr,10 Feb 1998,179cm,77kg,Gippsland Power,Forward,NA
17,Anderson,Jed,99,29yr,2 Feb 1994,179cm,81kg,Territory Thunder,Midfield,Forward
15,Anderson,Noah,58,22yr,17 Feb 2001,192cm,86kg,Oakleigh Chargers,Midfield,NA
31,Andrew,Mac,4,19yr 10mth,12 Apr 2003,201cm,74kg,Dandenong Stingrays,Defender,NA
2,Atkins,Rory,118,28yr 7mth,12 Jul 1994,186cm,85kg,Calder Cannons,Defender,Midfield
10,Ballard,Charlie,87,23yr 7mth,23 Jul 1999,196cm,93kg,Sturt,Defender,NA
16,Berry,Thomas,20,22yr 9mth,1 May 2000,185cm,79kg,Gwv Rebels,Forward,NA
26,Blakely,Connor,78,26yr 11mth,2 Mar 1996,189cm,88kg,Swan Districts,Midfield,NA
45,Brock,Sandy,0,20yr 2mth,14 Dec 2002,198cm,86kg,Peel Thunder,Defender,NA
35,Budarick,Connor,26,21yr 10mth,6 Apr 2001,175cm,74kg,Gold Coast Suns Academy,Defender,NA
29,Burgess,Chris,35,27yr 3mth,26 Nov 1995,191cm,94kg,,Defender,Forward
30,Casboult,Levi,175,32yr 11mth,15 Mar 1990,201cm,101kg,Dandenong Stingrays,Forward,NA
1,Chol,Mabior,53,26yr,29 Jan 1997,200cm,96kg,Aspley,Forward,NA
25,Collins,Samuel,81,28yr 8mth,15 Jun 1994,194cm,99kg,Box Hill Hawks,Defender,NA
33,Constable,Charlie,14,23yr 9mth,18 May 1999,191cm,86kg,Sandringham Dragons,Defender,Midfield
5,Davies,Alex,16,20yr 11mth,18 Mar 2002,191cm,85kg,Suns Academy,Midfield,Forward
12,Day,Sam,147,30yr 5mth,6 Sep 1992,197cm,99kg,Sturt,Forward,NA
4,Ellis,Brandon,231,29yr 6mth,3 Aug 1993,181cm,82kg,Calder Cannons,Defender,Midfield
50,Farrar,Jy,25,26yr 2mth,7 Dec 1996,191cm,77kg,Scotch OC,Defender,NA
37,Faulkhead,Oskar,0,20yr,11 Feb 2003,182cm,76kg,Bendigo Pioneers,Midfield,Forward
8,Fiorini,Brayden,76,25yr 6mth,22 Aug 1997,186cm,84kg,Northern Knights,Midfield,NA
3,Flanders,Sam,30,21yr 7mth,24 Jul 2001,183cm,82kg,Gippsland Power,Midfield,Forward
46,Graham,Caleb,37,22yr 5mth,12 Sep 2000,195cm,96kg,Gold Coast Academy,Defender,NA
36,Hollands,Elijah,5,20yr 10mth,25 Apr 2002,189cm,85kg,Murray Bushrangers,Midfield,NA
7,Holman,Nicholas,91,27yr 8mth,29 May 1995,189cm,86kg,Central District,Forward,NA
19,Humphrey,Bailey,0,18yr 5mth,11 Sep 2004,186cm,83kg,Gippsland Power,Midfield,Forward
40,Jeffrey,Joel,9,20yr 11mth,12 Mar 2002,192cm,80kg,Suns Academy,Forward,NA
38,Johnston,Lloyd,0,18yr 5mth,21 Sep 2004,185cm,76kg,NT Thunder,Defender,NA
34,King,Ben,53,22yr 7mth,7 Jul 2000,202cm,96kg,Sandringham Dragons,Forward,NA
23,Lemmens,Sean,134,28yr 3mth,2 Nov 1994,184cm,81kg,Port Adelaide,Defender,NA
22,Long,Ben,79,25yr 6mth,21 Aug 1997,183cm,80kg,Nt Thunder,Defender,Forward
13,Lukosius,Jack,73,22yr 6mth,9 Aug 2000,195cm,89kg,Woodville-West Torrens,Forward,NA
44,Macpherson,Darcy,72,25yr 3mth,29 Oct 1997,174cm,79kg,Northern Knights,Defender,Forward
43,McLaughlin,Brodie,0,25yr 3mth,20 Nov 1997,193cm,85kg,Frankston,Forward,NA
